1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
28.0061,1,1,0.846903,-0.537973,-0.670393,30.0018/28.0061,-0.144582,98.595/123.769,0/136.858,0.146195,8.14194/98.1384,0.595446/34.1705,24.0975/108.038,0.692068,0.268119,102.645/124.246,0.00261739/144.578,0.0943122,23.3162/123.2,23.0037/123.2
28.0035,1,1,0.847403,-0.538756,-0.665854,29.9958/28.0035,-0.149238,100.319/125.127,0/152.415,0.127627,9.05768/99.5465,0.657552/33.5988,26.7938/121.196,0.70691,0.270023,103.875/125.525,0.00292819/161.377,0.0906782,17.6771/107.089,16.6748/107.089
28.0049,1,1,0.847886,-0.539101,-0.691633,29.9911/28.0049,-0.150718,100.018/124.614,0/179.93,0.136009,10.3533/98.654,0.78556/34.1134,32.1198/144.617,0.735988,0.269947,103.439/124.951,0.00345168/190.444,0.109849,19.6702/98.6765,19.03/98.6765
28.0205,1,1,0.852424,-0.539469,-0.702394,30.0643/28.0205,-0.142825,98.3562/123.862,0/156.871,0.0853454,8.69366/97.583,0.627768/36.2424,26.3635/115.193,0.674504,0.264949,101.725/123.923,0.00293589/164.683,0.100418,25.6026/94.3662,21.384/94.3662
28.0052,1,1,0.84778,-0.539269,-0.695522,29.9901/28.0052,-0.150671,98.5076/122.834,0/136.892,0.0851295,9.65993/97.1424,0.773431/35.9372,22.6467/102.26,0.720759,0.269652,101.717/123.08,0.00261649/144.717,0.0936342,23.1253/89.543,18.5966/89.543
28.0055,1,1,0.847531,-0.539428,-0.676724,29.9865/28.0055,-0.152621,98.9531/123.104,0/154.82,0.12861,8.39419/97.5976,0.642881/35.8163,27.2981/123.505,0.698424,0.270732,102.154/123.366,0.00297515/163.93,0.0903007,18.8069/101.172,18.9998/101.172
28.0062,1,1,0.847459,-0.539339,-0.673325,29.9892/28.0062,-0.150435,98.9738/123.378,0/173.929,0.16736,9.35795/97.8442,0.726261/35.4103,30.7092/138.156,0.711268,0.26922,102.398/123.708,0.00333603/183.995,0.0986332,21.6965/118.581,19.977/118.581
28.0071,1,1,0.847368,-0.53929,-0.677421,29.9918/28.0071,-0.149697,98.7682/123.273,0/175.498,0.181067,8.43939/97.6702,0.638921/35.3614,30.1955/135.927,0.695735,0.268675,102.276/123.616,0.00336358/185.583,0.0967918,21.4483/123.632,21.0161/123.632
28.0074,1,1,0.847467,-0.539283,-0.685691,29.9924/28.0074,-0.150173,99.1261/123.662,0/179.477,0.182627,9.54287/98.0482,0.742704/35.5274,31.0218/139.555,0.712599,0.268571,102.591/123.985,0.00343989/189.811,0.0943896,21.6409/116.818,20.1239/116.818
28.0064,1,1,0.847836,-0.539361,-0.659731,29.9924/28.0064,-0.150292,99.3802/123.931,0/157.709,0.201579,7.95521/98.2403,0.584135/35.1135,26.1145/117.775,0.697144,0.268971,102.784/124.242,0.00302251/166.829,0.0899254,17.8355/137.327,30.7531/137.327
28.0066,1,1,0.847789,-0.539311,-0.655819,29.9925/28.0066,-0.150217,99.4621/124.045,0/153.41,0.205887,7.93541/98.2974,0.582026/35.1202,26.1291/117.814,0.697037,0.269001,102.87/124.356,0.00294007/162.28,0.0909253,18.0751/137.463,29.7959/137.463
28.0066,1,1,0.847866,-0.539364,-0.659489,29.9928/28.0066,-0.150379,99.6856/124.31,0/162.568,0.158494,7.79332/98.5262,0.572202/35.4282,28.2708/127.497,0.699181,0.268996,103.079/124.612,0.00311521/171.966,0.0991097,28.4203/166.491,22.0705/166.491
